company_short,year,bertopic_topic,topic_chunk_count,total_valid_chunks,topic_proportion
ASOS,2022,57,1,110,0.00909090909090909
ASOS,2023,0,14,117,0.11965811965811966
ASOS,2023,1,2,117,0.017094017094017096
ASOS,2023,2,1,117,0.008547008547008548
ASOS,2023,3,3,117,0.02564102564102564
ASOS,2023,4,4,117,0.03418803418803419
ASOS,2023,5,3,117,0.02564102564102564
ASOS,2023,7,4,117,0.03418803418803419
ASOS,2023,8,2,117,0.017094017094017096
ASOS,2023,9,4,117,0.03418803418803419
ASOS,2023,10,8,117,0.06837606837606838
ASOS,2023,11,1,117,0.008547008547008548
ASOS,2023,12,2,117,0.017094017094017096
ASOS,2023,14,3,117,0.02564102564102564
ASOS,2023,15,1,117,0.008547008547008548
ASOS,2023,16,1,117,0.008547008547008548
ASOS,2023,17,2,117,0.017094017094017096
ASOS,2023,18,1,117,0.008547008547008548
ASOS,2023,19,1,117,0.008547008547008548
ASOS,2023,20,2,117,0.017094017094017096
ASOS,2023,21,2,117,0.017094017094017096
ASOS,2023,24,7,117,0.05982905982905983
ASOS,2023,25,2,117,0.017094017094017096
ASOS,2023,26,4,117,0.03418803418803419
ASOS,2023,28,2,117,0.017094017094017096
ASOS,2023,29,8,117,0.06837606837606838
ASOS,2023,30,3,117,0.02564102564102564
ASOS,2023,33,2,117,0.017094017094017096
ASOS,2023,34,1,117,0.008547008547008548
ASOS,2023,35,4,117,0.03418803418803419
ASOS,2023,36,2,117,0.017094017094017096
ASOS,2023,38,2,117,0.017094017094017096
ASOS,2023,39,1,117,0.008547008547008548
ASOS,2023,40,2,117,0.017094017094017096
ASOS,2023,43,1,117,0.008547008547008548
ASOS,2023,45,3,117,0.02564102564102564
ASOS,2023,50,1,117,0.008547008547008548
ASOS,2023,51,1,117,0.008547008547008548
ASOS,2023,52,5,117,0.042735042735042736
ASOS,2023,53,2,117,0.017094017094017096
ASOS,2023,54,2,117,0.017094017094017096
ASOS,2023,56,1,117,0.008547008547008548
ASOS,2024,0,15,117,0.1282051282051282
ASOS,2024,1,5,117,0.042735042735042736
ASOS,2024,2,3,117,0.02564102564102564
ASOS,2024,3,3,117,0.02564102564102564
ASOS,2024,4,4,117,0.03418803418803419
ASOS,2024,5,2,117,0.017094017094017096
ASOS,2024,7,6,117,0.05128205128205128
ASOS,2024,8,2,117,0.017094017094017096
ASOS,2024,9,6,117,0.05128205128205128
ASOS,2024,10,6,117,0.05128205128205128
ASOS,2024,11,2,117,0.017094017094017096
ASOS,2024,12,1,117,0.008547008547008548
ASOS,2024,14,5,117,0.042735042735042736
ASOS,2024,15,1,117,0.008547008547008548
ASOS,2024,16,1,117,0.008547008547008548
ASOS,2024,17,2,117,0.017094017094017096
ASOS,2024,18,1,117,0.008547008547008548
ASOS,2024,19,1,117,0.008547008547008548
ASOS,2024,20,1,117,0.008547008547008548
ASOS,2024,21,1,117,0.008547008547008548
ASOS,2024,23,2,117,0.017094017094017096
ASOS,2024,24,7,117,0.05982905982905983
ASOS,2024,25,1,117,0.008547008547008548
ASOS,2024,28,1,117,0.008547008547008548
ASOS,2024,29,4,117,0.03418803418803419
ASOS,2024,30,1,117,0.008547008547008548
ASOS,2024,33,2,117,0.017094017094017096
ASOS,2024,34,3,117,0.02564102564102564
ASOS,2024,35,4,117,0.03418803418803419
ASOS,2024,36,2,117,0.017094017094017096
