company_short,year,topic_0_proportion,topic_1_proportion,topic_2_proportion,topic_3_proportion,topic_4_proportion,topic_5_proportion,topic_6_proportion,topic_7_proportion,topic_8_proportion,topic_9_proportion,topic_10_proportion,topic_11_proportion,topic_12_proportion,topic_13_proportion,topic_14_proportion,topic_15_proportion,topic_16_proportion,topic_17_proportion,topic_18_proportion,topic_19_proportion,topic_20_proportion,topic_21_proportion,topic_22_proportion,topic_23_proportion,topic_24_proportion,topic_25_proportion,topic_26_proportion,topic_27_proportion,topic_28_proportion,topic_29_proportion,topic_30_proportion,topic_31_proportion,topic_32_proportion,topic_33_proportion,topic_34_proportion,topic_35_proportion,topic_36_proportion,topic_37_proportion,topic_38_proportion,topic_39_proportion,topic_40_proportion,topic_41_proportion,topic_42_proportion,topic_43_proportion,topic_44_proportion,topic_45_proportion,topic_46_proportion,topic_47_proportion,topic_48_proportion,topic_49_proportion,topic_50_proportion,topic_51_proportion,topic_52_proportion,topic_53_proportion,topic_54_proportion,topic_55_proportion,topic_56_proportion,topic_57_proportion,topic_58_proportion,topic_59_proportion,topic_60_proportion
ASOS,2019,0.18840579710144928,0.014492753623188406,0.014492753623188406,0.07246376811594203,0.014492753623188406,0.028985507246376812,0.0,0.043478260869565216,0.043478260869565216,0.028985507246376812,0.0,0.028985507246376812,0.014492753623188406,0.0,0.014492753623188406,0.0,0.0,0.028985507246376812,0.014492753623188406,0.0,0.0,0.014492753623188406,0.0,0.028985507246376812,0.15942028985507245,0.028985507246376812,0.0,0.0,0.028985507246376812,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.0,0.014492753623188406,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0
ASOS,2020,0.2236842105263158,0.0,0.013157894736842105,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.0,0.06578947368421052,0.02631578947368421,0.02631578947368421,0.0,0.013157894736842105,0.013157894736842105,0.0,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.0,0.0,0.0,0.0,0.013157894736842105,0.13157894736842105,0.013157894736842105,0.0,0.0,0.039473684210526314,0.05263157894736842,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.02631578947368421,0.0,0.02631578947368421,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASOS,2021,0.18888888888888888,0.044444444444444446,0.03333333333333333,0.03333333333333333,0.011111111111111112,0.03333333333333333,0.0,0.044444444444444446,0.044444444444444446,0.05555555555555555,0.0,0.0,0.011111111111111112,0.0,0.022222222222222223,0.011111111111111112,0.011111111111111112,0.03333333333333333,0.0,0.0,0.011111111111111112,0.0,0.0,0.022222222222222223,0.07777777777777778,0.011111111111111112,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.0,0.022222222222222223,0.0,0.0,0.011111111111111112,0.011111111111111112,0.0,0.0,0.0,0.0
ASOS,2022,0.2,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.01818181818181818,0.02727272727272727,0.0,0.02727272727272727,0.01818181818181818,0.045454545454545456,0.05454545454545454,0.01818181818181818,0.0,0.0,0.01818181818181818,0.00909090909090909,0.0,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.00909090909090909,0.0,0.01818181818181818,0.05454545454545454,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.02727272727272727,0.02727272727272727,0.0,0.0,0.00909090909090909,0.00909090909090909,0.0,0.02727272727272727,0.0,0.01818181818181818,0.00909090909090909,0.03636363636363636,0.0,0.0,0.00909090909090909,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.0,0.00909090909090909,0.00909090909090909,0.0,0.01818181818181818,0.00909090909090909,0.00909090909090909,0.0,0.00909090909090909,0.00909090909090909,0.0,0.0,0.0
ASOS,2023,0.11965811965811966,0.017094017094017096,0.008547008547008548,0.02564102564102564,0.03418803418803419,0.02564102564102564,0.0,0.03418803418803419,0.017094017094017096,0.03418803418803419,0.06837606837606838,0.008547008547008548,0.017094017094017096,0.0,0.02564102564102564,0.008547008547008548,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.008547008547008548,0.017094017094017096,0.017094017094017096,0.0,0.0,0.05982905982905983,0.017094017094017096,0.03418803418803419,0.0,0.017094017094017096,0.06837606837606838,0.02564102564102564,0.0,0.0,0.017094017094017096,0.008547008547008548,0.03418803418803419,0.017094017094017096,0.0,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.0,0.0,0.008547008547008548,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.008547008547008548,0.008547008547008548,0.042735042735042736,0.017094017094017096,0.017094017094017096,0.0,0.008547008547008548,0.0,0.0,0.0,0.0
ASOS,2024,0.1282051282051282,0.042735042735042736,0.02564102564102564,0.02564102564102564,0.03418803418803419,0.017094017094017096,0.0,0.05128205128205128,0.017094017094017096,0.05128205128205128,0.05128205128205128,0.017094017094017096,0.008547008547008548,0.0,0.042735042735042736,0.008547008547008548,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.0,0.017094017094017096,0.05982905982905983,0.008547008547008548,0.0,0.0,0.008547008547008548,0.03418803418803419,0.008547008547008548,0.0,0.0,0.017094017094017096,0.02564102564102564,0.03418803418803419,0.017094017094017096,0.0,0.02564102564102564,0.008547008547008548,0.02564102564102564,0.0,0.0,0.017094017094017096,0.008547008547008548,0.008547008547008548,0.0,0.017094017094017096,0.0,0.0,0.008547008547008548,0.0,0.042735042735042736,0.008547008547008548,0.0,0.008547008547008548,0.008547008547008548,0.0,0.0,0.0,0.0
BOOHOO,2019,0.27906976744186046,0.0,0.0,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.046511627906976744,0.0,0.0,0.046511627906976744,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.046511627906976744,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.09302325581395349,0.023255813953488372,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0
BOOHOO,2020,0.21153846153846154,0.0,0.0,0.019230769230769232,0.038461538461538464,0.0,0.0,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.0,0.057692307692307696,0.019230769230769232,0.0,0.0,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.057692307692307696,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.17307692307692307,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0
BOOHOO,2021,0.25925925925925924,0.0,0.0,0.05555555555555555,0.0,0.018518518518518517,0.0,0.018518518518518517,0.05555555555555555,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517,0.0,0.05555555555555555,0.0,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.09259259259259259,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOOHOO,2022,0.19718309859154928,0.0,0.0,0.04225352112676056,0.014084507042253521,0.014084507042253521,0.0,0.07042253521126761,0.028169014084507043,0.014084507042253521,0.028169014084507043,0.014084507042253521,0.056338028169014086,0.0,0.0,0.0,0.028169014084507043,0.014084507042253521,0.028169014084507043,0.0,0.04225352112676056,0.014084507042253521,0.0,0.014084507042253521,0.0,0.04225352112676056,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.04225352112676056,0.0,0.0,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.07042253521126761,0.0,0.014084507042253521,0.056338028169014086,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.0
