esg_variable,observations,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
scope_1_emissions_tco2e,9,-0.4345160119501744,0.24252223115616503,-0.48333333333333334,0.18746985521554207
scope_2_emissions_tco2e,5,-0.8647959365467699,0.058453252396591604,-0.7,0.1881204043741873
scope_3_emissions_tco2e,2,,,,
total_emissions_tco2e,3,-0.7085315751503212,0.49871593890241245,-1.0,0.0
energy_consumption_mwh,3,0.5426101523175955,0.634872215402156,0.5,0.6666666666666667
renewable_energy_percent,3,-0.5421789674708977,0.6351989538877296,-0.5,0.6666666666666667
waste_tonnes,8,0.13020560762332062,0.7586097527660052,0.09523809523809526,0.8225054302036114
recycling_percent,5,0.8622069286202216,0.06011578639845491,0.6668859288553501,0.21889398131323168
