esg_variable,observations,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
scope_1_emissions_tco2e,9,-0.23065336225196495,0.5504531484815504,0.0,1.0
scope_2_emissions_tco2e,5,-0.0015695441191169168,0.9980015951808358,-0.3,0.6238376647810728
scope_3_emissions_tco2e,2,,,,
total_emissions_tco2e,3,0.9667279661078967,0.16468208771811957,1.0,0.0
energy_consumption_mwh,3,-0.9999780818121631,0.004215006379635899,-1.0,0.0
renewable_energy_percent,3,-0.3535241195712413,0.7699664648502013,-0.5,0.6666666666666667
waste_tonnes,8,0.25729247069950406,0.5384445505588795,0.09523809523809526,0.8225054302036114
recycling_percent,5,0.6956525007695503,0.19208522297188999,0.8720815992723809,0.05385421772754211
