company_short,year,search_term,match_number,context_snippet,possible_metric,possible_value,unit,use_in_final_dataset,notes,Unnamed: 10,Unnamed: 11,Unnamed: 12
JD,2019,waste,9,"creased to 4,756 tonnes (2018: 4,174 tonnes). In January 2019 we identified further opportunities to reduce the volume of DC waste classified as  general waste  by over 30%. The Group continues to expand its use of the Dry Mixed Recycling ( DMR ) schemes to all its stores and businesses in the UK, Ireland, the Netherlands and Belgium to maximise waste diversion from landfill. The scheme will be rolled out to our remaining territories and acquired businesses in due course, subject to sufficient DMR infrastructure existing within the respective countries. In the period to 2 February 2019 we recycled 98% (2018: 98%) of our DMR waste, with the remainder being used as an energy-from-waste (EfW) material. Tonnes of Recycled Cardboard at Kingsway DC 5,000 4,000 3,000 2,000 1,000 0 Tonnes 2015 2016 2017 2018 2019 1,322 1,638 3,993 4,174 4,756 Plastic and Paper   Customer Bags The Group acknowledges the large increase in public and media focus on the use of plastics and supports the ongoing debate and encouragement for an overall reduction in plastic usage across all industry sectors. With regards to the use of plastic bags for customers, the Group believes that encouraging the re-use of bags is the most effective way to reduce overall plastic usage. Our JD fascia is known for its high quality, durable drawstring duffle bags, the re-use of which is visually evident from",Recycling/recycled percentage,98.0,%,yes,Auto-extracted candidate recycling/waste percentage; verify in original report.,,,
JD,2020,waste,14,"d to 1 February 2020. For the period 25% of the funds were passed to Scottish Mountain Rescue with the remaining 75% donated to other charitable causes in accordance with the objects of the JD Foundation. Further information about the JD Foundation and its activities can be found on pages 104 to 108. RESOURCE MANAGEMENT: Recycling, plastic, paper and customer packaging   2019/20 progress review RECYCLING Wherever possible, plastic or cardboard (our major packaging constituent), is removed at the earliest source of our core supply chain (our Kingsway DC). During the year, the amount of cardboard recycled increased to 5,491 tonnes (2018: 4,756 tonnes). In 2019 we outsourced our waste management on-site to a third-party supplier, this has enabled the Group to trial new initiatives such as re-processing used hangers back into our estate via backhauling and reducing our general waste streams through finding different solutions for these materials. We are working towards completed a  zero waste to landfill  audit at our Kingsway DC by a third-party auditor. The Group continues to expand its use of the Dry Mixed Recycling ( DMR ) schemes to all its stores and businesses in the UK and Ireland, to maximise waste diversion from landfill. In 2019 we diverted 98.6% (2018: 98%) from landfill of our waste. PLASTIC AND PAPER Whilst our documented approach to re-use app",Waste/recycling amount,5491.0,tonnes,yes,Auto-extracted candidate waste/recycling value; verify in original report.,,,
JD,2021,co2e,8,"cling ( DMR ) schemes to all its stores and businesses in the UK and Republic of Ireland, to maximise waste diversion from landfill. In 2021 we diverted 98.8% (2020: 98.6%) of our waste from landfill.   The Group continues to remove card and plastic at the earliest possible source (via Kingsway). During the year, the amount of cardboard recycled reduced to 5,173 tonnes (2020: 5,491 tonnes). This reduction is consistent with the reduced UK and European output as a direct consequence of COVID-19. ONLINE SALES PACKAGING By using recycled plastic material for our online item dispatch packaging (avoiding virgin material) we achieved an equivalent embodied carbon saving of 1,005t CO2e within the period. New customer messaging (highlighting our recycled content percentage, and further recycling of packaging after use) has been introduced across additional packaging for online sales, including film for  auto-bagged  products, and the packaging used for our  ship from store  project. RETAIL PACKAGING The Group continues to support its long- held view that encouraging customer re-use of retail-issued bags is the most effective way to reduce overall plastic usage. Our JD fascia is renowned for its high quality, durable drawstring duffle bags, the re-use of which remains visually evident, from the high street through to the high school. REDUCING THE IMPACT OF RETA",Waste/recycling amount,5173.0,tonnes,yes,Auto-extracted candidate waste/recycling value; verify in original report.,,,
JD,2022,waste,7,"Leader  with an  A  rating.   We are active contributors and supporters of the UN  Race to Zero  and attended COP26.   We demonstrated the chronology of our progression to climate change leadership status as summarised on our corporate website.   Continue outperforming our sector on CDP scores (amidst vastly improved submission standards).   Achieving Net Zero before 2050. Our present forecast year for Net Zero is 2043. This is based on detailed, externally validated analysis of our emissions, including our largest category (the manufacture of the branded products that we sell). Resource management- Circular Economy   For the second successive year we retained  Zero waste to landfill  waste accreditation at our largest operated facility.   5,638 tonnes of card recycled and over 40 tonnes of plastic.   Recycled 74 tonnes of broken totes, resulting in the manufacture of 10,000 replacement products from recyclate.   The Group became one of the founding signatories to the WRAP Textiles 2030. Our first module was  Circular Economy in Business  giving focus to our future business strategy.   Retain  Zero waste to landfill  accreditation at our largest operated facility. Aim to achieve equivalent status for our largest UK/European office.   Review market solutions to implement a  Recycling Recovery Unit  facility to expand take-back and recyc",Waste/recycling amount,5638.0,tonnes,yes,Auto-extracted candidate waste/recycling value; verify in original report.,,,
JD,2022,waste,15,"e, during product manufacture (supporting the United Nations  Race to Zero  initiative). Demonstrate that new capital investment projects have incorporated site level re-use and recycling solutions. Eliminate waste to landfill Our largest directly-controlled facility (Kingsway Distribution Centre) achieved certified  Zero waste to landfill  accreditation in 2020/21 and 2021/22. Achieve  Zero waste to landfill  accreditation for both our Kingsway Distribution Centre and Head Office sites. Recycle and re-use Increase the re-use and recycling of more products and develop circular economy solutions. To maximise waste diversion from landfill, we diverted 98.8% (2021: 98.8%) of our waste.  Circular economy  development continued by increasing recyclable waste streams within directly controlled operations. We reprocessed and reused assets including radios, mannequins, staff uniforms and container units. Office furniture   over seven tonnes recycled and diverted from landfill. Maintain landfill diversion of at least 98.5% and target 99%+ (subject to regulation changes). Demonstrate further circular economy infrastructure within our own retail operations via investment in recycling and recovery facilities at key locations. Card recycling and plastic recycling To increase our recycling volumes specifically for card and plastic. The Group continues to remove card and",Recycling/recycled percentage,98.8,%,yes,Auto-extracted candidate recycling/waste percentage; verify in original report.,,,
JD,2023,co2e,11,"rastructure within our UK and European retail operations via investment in recycling and recovery facilities. Target re-purpose of our used paper and card products into new packaging products. Achieve re-processing and re-use of up to 10,000 colleague uniform items. Recycle Increase card and plastic recycling volumes Our  reduce  strategy removes card and plastic at the earliest possible source. Cardboard recycling totalled 5,219 tonnes and plastic 75 tonnes. Group  mailing bags  (for online orders) now use previous  waste  plastic film, now recovered, repurposed, and reused. Using recycled plastic material for online orders delivered an equivalent embodied carbon saving of 207t CO2e. Our e-commerce boxes are now 100% recycled card. New, printed customer messaging launched on packaging to encourage reuse and improve recyclate quality. Replicate paper, card, and plastic recycling and reuse at our new European Distribution Centre at Heerlen, Netherlands. Increase recycled percentage rates by a minimum of 20% for our Outdoor e-commerce packaging. Improving in-store sustainability A project was undertaken within the ESG team to identify opportunities in stores to convert Goods Not For Resale ( GNFR ) to sustainable options. This provides a blueprint for the stores within the JD portfolio, further details can be found on our corporate website at https://www.jdpl",Waste/recycling amount,5219.0,tonnes,yes,Auto-extracted candidate waste/recycling value; verify in original report.,,,
MKS,2021,emissions,1,"n the local area   who collect and deliver surplus such as fresh fruit, vegetables and bakery products daily. The new app was designed with our store colleagues, and their input ensured that it was successfully integrated into our store routines and processes. Since its launch, most of our stores have more than doubled the amount of stock they are donating. We donated a total of 11.8m meals in 2020/21 and reduced food waste in store by almost 5,000 tonnes. Our most sustainable denim yet Environment: Now moving towards net zero In November 2020, we extended our climate change commitment, with a pledge to build on the carbon neutral operations we have today towards net zero emissions by 2035. This builds on our existing science-based targets with a greater emphasis on delivering reductions in emissions that we currently offset. We are preparing for the future adoption of the Task Force on Climate-related Financial Disclosures (TCFD) recommendations. We have demonstrated our progress on aligning our climate reporting with these recommendations and set out our plans for next year in our ESG Committee Report. Further detail on our climate disclosures is on pages 74-76. Social: Leading on human rights Sourcing ethically   and reporting transparently on our supply chain practices   is core to how we do business. It s part of the promise we make to our",Waste/recycling amount,5000.0,tonnes,yes,Auto-extracted candidate waste/recycling value; verify in original report.,,,
NEXT,2019,scope 1,1,"umption: -10% reduction in kg CO2e/m2 over the five year period. -48%* reduction in kg CO2e/m2. Waste created in stores, warehouses, distribution centres and offices. To divert more than 95% of operational waste from landfill. 95% of operational waste diverted from landfill. * a reduction of 33% is attributable to the improvement in the emission factor provided by BEIS. Greenhouse gas emissions In accordance with the disclosure requirements for listed companies under the Companies Act 2006, the table below shows the Group s greenhouse gas emissions during the financial year: 2019 Tonnes of CO2 equivalent 2018 Tonnes of CO2 equivalent Combustion of fuel & operation of facilities (Scope 1) 46,911 48,157 Electricity, heat, steam and cooling purchased for own use (Scope 2) 70,693 89,687 Total Scope 1 and Scope 2 emissions 117,604 137,844 Intensity metric: tonnes of CO2e per  m of sales 35.89 33.48 Further information regarding environmental matters are published in our Corporate Responsibility Report which can be found on our website at nextplc.co.uk/corporate-responsibility Methodology The methodology used to calculate our emissions is based on operational control compliance with WRI/WBCSD GHG Protocol Corporate Accounting and Reporting Standards (Revised) and has been calculated using the revised carbon convention factors published by BEIS in June 2018. For International",Scope 1 emissions,46911.0,tCO2e,yes,Auto-extracted candidate recycling/waste percentage; verify in original report.,,,
NEXT,2019,scope 2,1,"n kg CO2e/m2. Waste created in stores, warehouses, distribution centres and offices. To divert more than 95% of operational waste from landfill. 95% of operational waste diverted from landfill. * a reduction of 33% is attributable to the improvement in the emission factor provided by BEIS. Greenhouse gas emissions In accordance with the disclosure requirements for listed companies under the Companies Act 2006, the table below shows the Group s greenhouse gas emissions during the financial year: 2019 Tonnes of CO2 equivalent 2018 Tonnes of CO2 equivalent Combustion of fuel & operation of facilities (Scope 1) 46,911 48,157 Electricity, heat, steam and cooling purchased for own use (Scope 2) 70,693 89,687 Total Scope 1 and Scope 2 emissions 117,604 137,844 Intensity metric: tonnes of CO2e per  m of sales 35.89 33.48 Further information regarding environmental matters are published in our Corporate Responsibility Report which can be found on our website at nextplc.co.uk/corporate-responsibility Methodology The methodology used to calculate our emissions is based on operational control compliance with WRI/WBCSD GHG Protocol Corporate Accounting and Reporting Standards (Revised) and has been calculated using the revised carbon convention factors published by BEIS in June 2018. For International electricity, 2018 IEA Scope 2 factors have been used. NEXT remains committed to re",Scope 2 emissions,70693.0,tCO2e,yes,Duplicate of another auto-extracted candidate; verify before excluding.,,,
NEXT,2020,Scope 1 ,1,"perations As a responsible business, NEXT is working to reduce the direct impact of our business operations on the natural environment. In order to help us understand the impact of our direct business we measure our global carbon footprint produced from the operational activities of NEXT over which we have direct control. We recognise that current global emissions trends are not aligned with international commitments such as the 2015 Paris Agreement. In 2016/17, we set a five year target to reduce our electricity consumption by 10% in kg CO2e/m2 by 2020/21. We achieved this target in 2018/19 with a 15% reduction. As a result, in 2019 we launched a new carbon reduction target to reduce Scope 1 and Scope 2 absolute carbon emissions by 50% against our 2016/17 baseline. We aim to achieve this by 2030 and by the end of the year we had achieved a 35% reduction against our 2016/17 emissions. Greenhouse gas emissions In accordance with the disclosure requirements for listed companies under the Companies Act 2006, the table below shows the Group s greenhouse gas emissions during the financial year: 2020 Tonnes of CO2 equivalent 2019 Tonnes of CO2 equivalent Combustion of fuel and operation of facilities (Scope 1) 45,739 46,911 Electricity, heat, steam and cooling purchased for own use (Scope 2) 60,440 70,693 Total Scope 1 and Scope 2 emissions 106,179 117,604 Intensity metric",Scope 1 emissions,45739.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
NEXT,2020,Scope 2 emissions,4,"Group s greenhouse gas emissions during the financial year: 2020 Tonnes of CO2 equivalent 2019 Tonnes of CO2 equivalent Combustion of fuel and operation of facilities (Scope 1) 45,739 46,911 Electricity, heat, steam and cooling purchased for own use (Scope 2) 60,440 70,693 Total Scope 1 and Scope 2 emissions 106,179 117,604 Intensity metric: tonnes of CO2e per  m of sales 24.34 27.86 The methodology used to calculate our emissions is based on operational control compliance with WRI/WBCSD GHG Protocol Corporate Accounting and Reporting Standards (Revised) and has been calculated using the revised carbon convention factors published by BEIS in 2019. For International electricity, Scope 2 factors published by IEA in 2019 have been used. Further detailed information on NEXT s global emissions footprint can be found in our Corporate Responsibility Report on our corporate website at nextplc.co.uk. Renewable energy NEXT is a signatory to the RE100 initiative that commits businesses to using 100% renewable energy by 2030. Our UK and Eire operations have been run using 100% renewable energy since April 2017, and we continue to work towards achieving this in our direct operations overseas. CORPORATE RESPONSIBILITY 70 --- Page 73 --- Waste, packaging and recycling NEXT operates an ongoing programme of reduction, reuse and recycling. We exceeded our target of diverting more th",Scope 2 emissions,60440.0,tCO2e,yes,Auto-extracted candidate renewable energy percentage; verify in original report.,,,
NEXT,2021,Scope 1 ,7,"holder Information --- Page 90 --- CORPORATE RESPONSIBILITY Greenhouse gas emissions   Streamlined Energy and Carbon Reporting (SECR) In accordance with the disclosure requirements for listed companies under the Companies Act 2006, the table below shows the Group s SECR disclosure across Scope 1 and 2 together with an appropriate intensity metric and our total energy use of gas, electricity and other fuels during the financial year. 2021 2020 Green House Gas (GHG) Emissions1 Unit UK Global UK Global Scope 12 tonnes CO2e 36,424 36,914 44,974 45,739 Scope 2   Location Based3 tonnes CO2e 39,872 43,656 54,909 60,440 Scope 2   Market Based4 tonnes CO2e 1,052 4,836 1,461 6,909 Total Scope 1 & 2 Location Based tonnes CO2e 76,296 80,570 99,883 106,179 Total Scope 1 & 2 Market Based tonnes CO2e 37,476 41,750 46,435 52,648 Energy consumption5 Electricity kWh 172,493,823 179,492,824 216,506,531 225,364,038 Natural Gas kWh 48,663,573 49,207,109 45,551,005 46,048,483 Gas Oil kWh 1,743,295 1,743,295 2,049,074 2,049,074 Diesel kWh 108,135,792 108,420,497 140,972,090 141,476,535 Petrol (including plug in hybrid) kWh 2,107,852 2,301,766 2,284,105 2,550,639 Total Energy Consumption kWh 333,144,335 341,165,491 407,362,805 417,488,769 Intensity metric Location Based tonnes CO2e/ 1m sales 21 22 23 24 Market Based tonnes CO2e/ 1m sales 10 12 11 12 1 The methodology used to calculate our",Scope 1 emissions,36914.0,tCO2e,yes,Duplicate of another auto-extracted candidate; verify before excluding.,,,
NEXT,2021,renewable energy,1,"miles in company-owned vehicles to kWh. Energy consumption data is captured through monthly bills showing actual or estimated consumption. We continue to work to improve operational efficiency across our property portfolio. We actively track and review energy performance via a central data collection facility to ensure our properties are operating efficiently. During the year we have continued to roll out LED lighting installations in retail stores saving 3,910 MWh (3,910,048 kWh). In addition, due to COVID, our stores have been closed for part of the year which has allowed increased monitoring of electricity consumption leading to identification and resolution of any usage anomalies. Renewable energy NEXT is a signatory to the RE100 initiative and has committed to using 100% renewable energy by 2030. Our UK and Eire operations have been run using 100% renewable energy since April 2017, and we continue to work towards achieving this target in our direct operations overseas. Waste, packaging and recycling NEXT operates an ongoing programme of reduction, reuse and recycling. We exceeded our target of diverting more than 95% of operational waste from landfill by 2020 for reuse or recycling, achieving 97% in 2020/21. We continue to identify ways to reduce the amount of packaging and eliminate avoidable plastics in product packaging such as PVC, polystyrene and acetate. All our packaging",Renewable energy percentage,100.0,%,yes,Auto-extracted candidate renewable energy percentage; verify in original report.,,,
NEXT,2022,scope 1,5,"--- Page 92 --- ENVIRONMENT Our commitment We are committed to minimising our environmental impact by reducing the carbon intensity of our activities and the natural resources we use. Our efforts around ESG are reflected in the following:   Constituent of the FTSE4Good Index.   Sustainalytics: 15.5 risk rating (low risk), ranked 132 out of 453 in our industry (retail).   MSCI: ESG rating AA (Leader).   CDP: Climate change: A-, Forests: B, Water security: B. Greenhouse gas emissions   Streamlined Energy and Carbon Reporting (SECR) In accordance with the disclosure requirements for listed companies under the Companies Act 2006, the table below shows the Group s SECR disclosure across Scope 1 and 2 together with an appropriate intensity metric and our total energy use of gas, electricity and other fuels during the financial year. The reported emissions data includes NEXT plc and its subsidiaries with the exception of any associates in which our interest is below 51%. 2022 2021 Greenhouse Gas (GHG) Emissions1 Unit UK Global UK Global Scope 12 tonnes CO2e 41,832 42,616 A 36,424 36,914 Scope 2   Location Based3 tonnes CO2e 42,229 47,334 A 39,872 43,656 Scope 2   Market Based4 tonnes CO2e 1,274 6,379 A 1,052 4,836 Total Scope 1 & 2 Location Based tonnes CO2e 84,061 89,950 A 76,296 80,570 Total Scope 1 & 2 Market Based tonnes CO2e 43,106 48,995 A 37,476 41,750 Energy consumption5",Scope 1 emissions,42616.0,tCO2e,yes,Auto-extracted candidate from Scope 1/emissions snippet; verify in original report.,,,
NEXT,2022,scope 3,12,"ic packaging to be reusable, recyclable or compostable.   70% of plastic packaging to be effectively recycled or composted.   30% average recycled content across all plastic packaging. 97 Strategic Report Governance Financial Statements Shareholder Information --- Page 100 --- Strategic goal Deadline Progress achieved at January 2022 Measures Responsible Sourcing Strategy 2025 2025 In progress   42% (2021: 30%) Source 100% of main raw materials through known, responsible or certified routes by 2025. Reduce Scope 1 & 2 absolute carbon emissions by 55% 2030 In progress   45% reduction (2021: 50%) Reduce Scope 1 & 2 emissions by 55% against an absolute baseline of 2016/17. Reduce Scope 3 carbon emissions by 40% 2030 In progress Reduce Scope 3 emissions by 40% per  1m of sales against a relative baseline of 2019/20. Divert more than 95% of operational waste from landfill 2020 Achieved   97% (2021: 97%) Divert at least 95% of operational waste from landfill through recycling. EV100 Pledge 2030 Committed 100% of vehicles up to 3.5 tonnes to be electric. Charging points across all staff sites. Charging points across all customer sites (car parks with sole use). RE100 Pledge 2030 In progress   94% (2021: 94%) 100% of electricity purchased to be certified renewable globally. Recycling All our packaging is recyclable, although not all local authorities recycle all mate",Recycling/recycled percentage,94.0,%,yes,Auto-extracted candidate renewable energy percentage; verify in original report.,,,
NEXT,2022,waste,3,"d measurement of sustainability from our supply chain, using the Higg Index. In addition, we supported the creation of the BRC s Climate Action Roadmap. This is a framework to guide the retail industry to net zero by 2040. As a founding signatory to the Roadmap we commit to working with other retailers, suppliers, Government and stakeholders, and to support customers, to collectively deliver the industry s net zero ambition. Our next step is to incorporate the data we collect from the Higg Index sustainability tool into the different tiers of our supply chain, identify the areas in need of greatest improvement and communicate the importance of our ambitions to our suppliers. 4. Waste, packaging and recycling Waste We have exceeded our target of diverting more than 95% of operational waste from landfill by 2020 for reuse or recycling. In 2021/22 we diverted 97% of operational waste from landfill. Packaging We continue to identify ways to reduce the amount of packaging and eliminate avoidable plastics in product packaging such as PVC, polystyrene and acetate. Having trialled paper carrier bags, we have made the decision not to move away from plastic bags made from recycled plastic at this time. This is due to a number of reasons, including customer feedback, the larger overall environmental impact of paper bags and issues with damage from wet weather.",Recycling/recycled percentage,95.0,%,yes,Auto-extracted candidate recycling/waste percentage; verify in original report.,,,
NEXT,2023,scope 1,4,"o minimising our environmental impact by reducing the carbon intensity of our activities and the natural resources we use. Rankings Our efforts around ESG are reflected in the following external benchmarks:   Constituent of the FTSE4Good Index.   Sustainalytics: 15.7 risk rating (low risk), ranked 125 out of 493 in our industry (retail).   MSCI: ESG rating AA (Leader).   CDP: Climate change: B, Forests: B-, Water security: B. CORPORATE RESPONSIBILITY Greenhouse gas emissions   Streamlined Energy and Carbon Reporting (SECR) In accordance with the disclosure requirements for listed companies under the Companies Act 2006, the table below shows the Group s SECR disclosure across Scope 1 and 2 together with an appropriate intensity metric and our total energy use of gas, electricity and other fuels during the financial year. The reported emissions data includes NEXT plc and its wholly owned subsidiaries only. 2023 2022 Greenhouse Gas (GHG) Emissions1 Unit UK Global UK Global Scope 12 tonnes CO2e 42,170 43,165 A 41,832 42,616 Scope 2   Location Based3 tonnes CO2e 39,085 43,323 A 42,229 47,334 Scope 2   Market Based4 tonnes CO2e 1,443 5,638 A 1,274 6,379 Total Scope 1 & 2 Location Based tonnes CO2e 81,255 86,488 A 84,061 89,950 Total Scope 1 & 2 Market Based tonnes CO2e 43,613 48,803 A 43,106 48,995 Energy consumption5 Electricity Purchased kWh 202,113,133 209,139,917 20",Scope 1 emissions,43165.0,tCO2e,yes,Auto-extracted candidate from Scope 1/emissions snippet; verify in original report.,,,
NEXT,2023,waste,5,"out in the table below and pages 86 to 88 for our SECR and GHG disclosures. Metrics and targets Strategic goal Deadline Progress achieved at January 2023 Measures Responsible Sourcing Strategy 20251 2025 In progress   54% (2022: 42%) Source 100% of main raw materials through known, responsible or certified routes by 2025. Reduce Scope 1 & 2 absolute carbon emissions by 55% 2030 In progress   47% reduction (2022: 45%) Reduce Scope 1 & 2 emissions by 55% against an absolute baseline of 2016/17. Reduce Scope 3 carbon emissions by 40%2 2030 In progress   29% Reduce Scope 3 emissions by 40% per  1m of sales against a relative baseline of 2019/20. Divert more than 95% of operational waste from landfill 2020 Achieved   95% (2022: 96% ) Divert at least 95% of operational waste from landfill through recycling. EV100 Pledge3 2030 We currently have 731 Company Cars on our fleet, of which 63 are fully electric (8.6%). We currently have 242 charging points across our network with 6 at Head Office. We have workplace e-charging available at 9 sites. 100% of vehicles up to 3.5 tonnes to be electric. Charging points across all staff sites. Charging points across all customer sites (car parks with sole use). RE100 Pledge 2030 In progress   95% (2022: 94%) 100% of electricity purchased to be certified renewable globally. 1. Source 100% of main raw materials through known, resp",Recycling/recycled percentage,95.0,%,yes,Auto-extracted candidate renewable energy percentage; verify in original report.,,,
NEXT,2024,scope 1,2,"r the Companies Act 2006, the table below shows the Group s SECR disclosure across Scope 1 and 2 together with an appropriate intensity metric and our total energy use of gas, electricity and other fuels during the financial year. The reported emissions data includes NEXT plc and those of its subsidiaries in which it has a controlling interest. Emissions from newly acquired subsidiaries will be consolidated in our reporting when reliable and accurate data is evidenced, with the aim to report in the first full year post acquisition. As such, the table below does not include FatFace, however in relation to Reiss which is otherwise excluded, it does include owned distribution vehicles for Scope 1 which sit within NEXT s own data from when Reiss became a TP partner and NEXT distribution was used. 2024 2023 Greenhouse Gas (GHG) Emissions1 Unit UK Global UK Global Scope 12 tonnes CO2e 43,343 44,001 42,410 (42,170) 43,404 (43,165) Scope 2   Location Based3 tonnes CO2e 40,190 43,373 39,085 43,323 Scope 2   Market Based4 tonnes CO2e   3,184 1,443 5,638 Total Scope 1 & 2 Location Based tonnes CO2e 83,533 87,374 81,495 (81,255) 86,727 (86,488) Total Scope 1 & 2 Market Based tonnes CO2e 43,343 47,185 43,853 (43,613) 49,042 (48,803) Energy consumption5 Electricity Purchased kWh 194,086,147 200,167,830 202,113,133 209,139,917 Renewable Electricity Generated kWh 5,113,440 5,113,44",Scope 1 emissions,44001.0,tCO2e,yes,Auto-extracted candidate from Scope 1/emissions snippet; verify in original report.,,,
NEXT,2024,waste,4,"gets Strategic goal Deadline Progress achieved at January 2024 Measures Responsible Sourcing Approach1 2030 In progress   59% (2023: 54%) Source 100% of our main raw materials through known, responsible or certified routes by 2030. Reduce Scope 1 & 2 carbon emissions2 2030 In progress   46% reduction (2023: 47%) Reduce Scope 1 & 2 absolute carbon emissions by 55% against an absolute baseline of 2016/17 (SBTi). Reduce Scope 3 carbon emissions3 2030 In progress   28% (2023: 29%) Reduce Scope 3 emissions by 40% per  1m of sales against a relative baseline of 2019/20 (SBTi). Divert operational waste from landfill Ongoing4 Achieved   96% (2023: 95%) Divert at least 95% of operational waste from landfill through recycling. EV100 Pledge5 2030 We have 858 (2023: 731) Company Cars in our UK fleet, of which 212 (2023: 63) are fully electric (25%)(2023: 8.6%). We have 360 (2023: 242) charging points across our network with 69 at Head Office. We have workplace e-charging available at 20 of our employee sites across Head Office and Distribution. 100% of vehicles up to 3.5 tonnes to be electric. Charging points across all staff sites. Charging points across all customer sites (car parks with sole use). RE100 Pledge 2030 In progress   97% (2023: 95%) 100% of electricity purchased to be certified renewable globally. 1. Source 100% of our main raw materials through known, respon",Recycling/recycled percentage,96.0,%,yes,Auto-extracted candidate renewable energy percentage; verify in original report.,,,
