company_short,year,search_term,match_number,context_snippet,possible_metric,possible_value,unit,use_in_final_dataset,notes,Unnamed: 10,Unnamed: 11,Unnamed: 12
ASOS,2021,Total/operational carbon emissions,1,"rollout and the utilisation of these tools, we ve run a series of masterclasses for all ASOSers to join and we re embedding the tools into every stage of the employee lifecycle. This year we ve launched our Disability Network to drive changes in the areas that matter most and, as part of our ALL IN Events Series, have run panel discussions about disability and accessibility. Energy and carbon emission reporting Unit of measurement UK portion Total global FY21 FY20 % change FY21 FY20 % change Energy consumption used to calculate emissions   for gas, electricity and transport emissions kWh 29,127,996 24,679,429 18% 55,873,228 50,451,739 11% Scope 1   emissions from combustion of gas tCO2e 2,064 1,359 52% 3,602 2,955 22% Scope 2   emissions from purchased electricity   location based tCO2e 3,854 4,026 -4% 11,338 11,084 2% Scope 3   emissions from staff vehicles used for business purposes tCO2e 18 23 -22% 18 23 -22% Total gross emissions tCO2e 5,936 5,408 10% 14,958 14,062 6% Intensity ratio   tCO2e/ m revenue   location based tCO2e/  m revenue 3.84 4.31 -11% Market based emissions Unit of measurement UK portion Total global FY21 FY20 % change FY21 FY20 % change Scope 2   emissions from purchased electricity   market based tCO2e 0 1,703 -100% 3,150 5,046 -38% Intensity ratio   tCO2e/ m revenue   market based tCO2e/  m revenue 1.73 2.46 -30% Quantification and reporting m",Total/operational carbon emissions,14958.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2022,Scope 1 ,11,"our data and transparency, and we will be working with PwC in the coming months to develop an assurance plan for wider FWI and ESG metrics. In April 2022, we published our first FWI Progress Update report for FY21. This report includes updates across all our FWI metrics and targets for FY21, and progress made within the first half of FY22. We will be publishing our next FWI Progress Update report in the coming months for the FY22 reporting period and integrating further ESG metrics and data points. This report will be available on our website asosplc.com/fashion-with-integrity/ reports-and-policies/. Location based emissions Unit of measurement FY22 FY21 % change Total global Scope 1 emissions from combustion of gas tCO2e 3,351 3,602 -7% Total global Scope 2 emissions from purchased electricity   location based tCO2e 11,497 11,338 1% Total global gross location based emissions tCO2e 14,848 14,940 -1% Market based emissions Unit of measurement FY22 FY21 % change Total global Scope 2 emissions from purchased electricity   market based tCO2e 2,860 3,150 -9% Total global gross market based emissions tCO2e 6,211 6,752 -8% Task Force on Climate-related Financial Disclosures (TCFD) continued ASOS PLC   ANNUAL REPORT AND ACCOUNTS 2022 044 STRATEGIC REPORT GOVERNANCE REPORT FINANCIAL STATEMENTS --- Page 47 --- Non-financial information statement The table below const",Scope 1 emissions,3351.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2022,Energy consumption,13,"ing these tools into every stage of the employee lifecycle. This year we ve launched our Disability Network to drive changes in the areas that matter most and, as part of our ALL IN Events Series, have run panel discussions about disability and accessibility. ASOS PLC   ANNUAL REPORT AND ACCOUNTS 2022 107 --- Page 110 --- Energy and carbon emission reporting Our reporting period for energy and carbon emissions is aligned to our financial year, from 1 September to 31 August. Unit of measurement UK portion Total global FY22 FY21 % change FY22 FY21 % change Energy consumption used to calculate emissions   for gas and electricity kWh 33,550,755 29,112,563 15% 59,433,989 55,857,795 6% Scope 1   emissions from combustion of gas tCO2e 2,258 2,064 9% 3,351 3,602 -7% Scope 2   emissions from purchased electricity   location based tCO2e 4,507 3,854 17% 11,497 11,338 1% Total gross emissions tCO2e 6,765 5,918 14% 14,848 14,940 -1% Intensity ratio   tCO2e/ m revenue   location based tCO2e/  m revenue 3.77 3.84 -2% Market based emissions Unit of measurement UK portion Total global FY22 FY21 % change FY22 FY21 % change Scope 2   emissions from purchased electricity   market based tCO2e 0 0 0% 2,860 3,150 -9% Intensity ratio   tCO2e/ m revenue   market based tCO2e/  m revenue 1.58 1.73 -9% Quantification and reporting methodology: We have followed the 2020 HM Government Environmen",Energy consumption,59433989.0,kWh,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2022,Scope 2,4,"unched our Disability Network to drive changes in the areas that matter most and, as part of our ALL IN Events Series, have run panel discussions about disability and accessibility. ASOS PLC   ANNUAL REPORT AND ACCOUNTS 2022 107 --- Page 110 --- Energy and carbon emission reporting Our reporting period for energy and carbon emissions is aligned to our financial year, from 1 September to 31 August. Unit of measurement UK portion Total global FY22 FY21 % change FY22 FY21 % change Energy consumption used to calculate emissions   for gas and electricity kWh 33,550,755 29,112,563 15% 59,433,989 55,857,795 6% Scope 1   emissions from combustion of gas tCO2e 2,258 2,064 9% 3,351 3,602 -7% Scope 2   emissions from purchased electricity   location based tCO2e 4,507 3,854 17% 11,497 11,338 1% Total gross emissions tCO2e 6,765 5,918 14% 14,848 14,940 -1% Intensity ratio   tCO2e/ m revenue   location based tCO2e/  m revenue 3.77 3.84 -2% Market based emissions Unit of measurement UK portion Total global FY22 FY21 % change FY22 FY21 % change Scope 2   emissions from purchased electricity   market based tCO2e 0 0 0% 2,860 3,150 -9% Intensity ratio   tCO2e/ m revenue   market based tCO2e/  m revenue 1.58 1.73 -9% Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corpor",Scope 2 emissions,11497.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2022,Total/operational carbon emissions,5,"ur financial year, from 1 September to 31 August. Unit of measurement UK portion Total global FY22 FY21 % change FY22 FY21 % change Energy consumption used to calculate emissions   for gas and electricity kWh 33,550,755 29,112,563 15% 59,433,989 55,857,795 6% Scope 1   emissions from combustion of gas tCO2e 2,258 2,064 9% 3,351 3,602 -7% Scope 2   emissions from purchased electricity   location based tCO2e 4,507 3,854 17% 11,497 11,338 1% Total gross emissions tCO2e 6,765 5,918 14% 14,848 14,940 -1% Intensity ratio   tCO2e/ m revenue   location based tCO2e/  m revenue 3.77 3.84 -2% Market based emissions Unit of measurement UK portion Total global FY22 FY21 % change FY22 FY21 % change Scope 2   emissions from purchased electricity   market based tCO2e 0 0 0% 2,860 3,150 -9% Intensity ratio   tCO2e/ m revenue   market based tCO2e/  m revenue 1.58 1.73 -9% Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corporate Standard (Operational Control boundary), Ofgem environmental impact measurements for fuel sources, and have used the 2022 UK Government s Conversion Factors for Company Reporting. Other intensity factors acquired through EIA and EEA for US and German markets. Energy data is obtained from a hierarchy of HH data, meter readings, invoices and finall",Total/operational carbon emissions,14848.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
BOOHOO,2019,waste,2,"behalf to ensure there is no modern slavery in our supply chain and to support the work by ourselves and third party auditors to ensure our code of conduct is being adhered to. Anti-bribery boohoo has a strict anti-bribery policy, supported by regular training and reminders to employees and partners. Gift-giving and receiving to and from suppliers is monitored and controlled within reasonable low limits that are not considered to be influential in business operations. Environment To reduce the direct environmental impact of our UK operations we have a number of initiatives underway. These include:   Monitoring and reporting all wastage, and recycling all paper and plastic waste at our Manchester site and all cardboard and plastic waste from our warehouse. At our warehouse we diverted 100% of waste (65 tonnes) from landfill in 2018, of which 68% was recycled   Replacing lighting at head office and in our warehouse with motion-activated lighting and upgrading to LEDs where possible throughout our UK operations   Using energy efficient storage heaters in offices not connected to the wet system   Installing solar panels in one of our newer head office buildings and the Burnley warehouse with a view to rolling this out across the various sites   The CO2 output from heating and lighting in the offices and warehouse in the year was 3,677 tonnes (2018: 2",Waste/recycling amount,65.0,tonnes,yes,Auto-extracted candidate waste/recycling value; verify in original report.,,,
BOOHOO,2020,scope 1,1,"nced a solar energy programme at our offices in Manchester 5 Conducted an energy use review to identify improvement opportunities 5 Source 100% of own operations electricity needs from renewable sources 5 Raise awareness to reduce energy use across our business 5 % of renewable electricity in own operations   100% 5 Up to 10% (by volume) of Tier 1 suppliers to undergo SAC Higg Facility Environment Module in 2020 CARBON 5 To reduce our carbon footprint globally 5 Worked with third- party experts Avieco to measure our Scope 1 and Scope 2 carbon footprint 5 Worked with Avieco to map the carbon footprint  hotspots  across our value chain 5 Build on the Scope 1 and Scope 2 learnings and identify actions to reduce footprint 5 Enhance our reporting capability to ensure robustness 5 Work on a Scope 3 carbon footprint assessment 5 Identify a Scope 3 carbon mitigation plan 5 % reduction in CO2 emissions from own operations (Scope 1+2) compared with previous year 5 Commitment to 2030 GHG emissions reduction target to be submitted to and approved by Science Based Targets Initiative ANNUAL REPORT AND ACCOUNTS 2020 / BOOHOO GROUP PLC 26 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT (CONTINUED) --- Page 29 --- PEOPLE BOOHOO WAY 2019 ACTIONS 2020 METRICS OUR EMPLOYEES 5 To ensure every one of our employees feels respected, repres",Renewable energy percentage,100.0,%,yes,Auto-extracted candidate renewable energy percentage; verify in original report.,,,
BOOHOO,2024,waste,8,"ers a mechanism to hire garments. Customers can now hire products from fi ve of the group s brands.   Launched PRETTYLITTLETHING Marketplace   Partnered with LOOP, a digital wardrobe. The platform enables customers to sell, buy, recycle or reuse unwanted clothing in a transparent and easy way. Loop is fully aligned with the 10 R-strategies of the Circular Economy Framework.   Karen Millen partnered with Thrift+ to provide customers a hassle-free way to recirculate garments. The group introduced a 50p charge for the return bag to reduce wastage   Partnered with Yellow Octopus, British Heart Foundation and Multibank to divert 276 tonnes of textile waste from landfi ll in the UK.   Through partnerships with Yellow Octopus 2.6 tonnes of product that could not be repaired was turned into bricks. Waste and resource management Continued... Sustainable design, innovation to reduce waste, increase durability and improve recyclability.   Reviewed mailer bag strategy and plan to launch a circular model  How we can give waste another life , next year.   Invested in the durability and quality of products by using the boohooLAB to test products. On average, the lab carries out 30 tests a day across a range of parameters, including colourfastness and durability.   Annual investment of  100,000 in recycling machinery to enable waste streams like",Waste/recycling amount,2.6,tonnes,yes,Auto-extracted candidate waste/recycling value; verify in original report.,,,
JD,2019,emissions,12,"( ESOS ) ahead of the December 2019 deadline   Establish a revised retrofit LED lighting project that will enable more stores to receive retrofits, further supporting our ESOS obligations Percentage of Worldwide Operation Supplied by Green (Renewable) Sourced Energy Interaction with Pentland Group Plc Under the current rules of the statutory Carbon Reduction Commitment Energy Efficiency scheme ( CRC ), the Group s submission to the UK Environment Agency is aggregated with that of Pentland Group Plc which is the Group s ultimate holding company (see Note C22). The Group continues to work closely with Pentland Group Plc to ensure consistent, high quality reporting in relation to the emissions trading scheme introduced in April 2010, as part of the CRC. Renewable Sourced Energy (85%) Non Renewable Sourced Energy (15%) --- Page 71 --- 72-73 Recycling Wherever possible, plastic or cardboard (our major packaging constituent), is removed at the earliest source of our core supply chain (our Kingsway DC). Any plastic or cardboard recyclate from stores is returned to our DC for baling, before being collected by our recycling provider for reprocessing. During the year, the amount of cardboard recycled increased to 4,756 tonnes (2018: 4,174 tonnes). In January 2019 we identified further opportunities to reduce the volume of DC waste classified as  general waste  by over 30%.",Renewable energy percentage,85.0,%,yes,Auto-extracted candidate renewable energy percentage; verify in original report.,,,
JD,2019,waste,7,"ble, plastic or cardboard (our major packaging constituent), is removed at the earliest source of our core supply chain (our Kingsway DC). Any plastic or cardboard recyclate from stores is returned to our DC for baling, before being collected by our recycling provider for reprocessing. During the year, the amount of cardboard recycled increased to 4,756 tonnes (2018: 4,174 tonnes). In January 2019 we identified further opportunities to reduce the volume of DC waste classified as  general waste  by over 30%. The Group continues to expand its use of the Dry Mixed Recycling ( DMR ) schemes to all its stores and businesses in the UK, Ireland, the Netherlands and Belgium to maximise waste diversion from landfill. The scheme will be rolled out to our remaining territories and acquired businesses in due course, subject to sufficient DMR infrastructure existing within the respective countries. In the period to 2 February 2019 we recycled 98% (2018: 98%) of our DMR waste, with the remainder being used as an energy-from-waste (EfW) material. Tonnes of Recycled Cardboard at Kingsway DC 5,000 4,000 3,000 2,000 1,000 0 Tonnes 2015 2016 2017 2018 2019 1,322 1,638 3,993 4,174 4,756 Plastic and Paper   Customer Bags The Group acknowledges the large increase in public and media focus on the use of plastics and supports the ongoing debate and encouragement for an overall reducti",Waste/recycling amount,4756.0,tonnes,yes,Au+I822+J880,,,
