company_short,year,word_count,clean_word_count,vader_neg,vader_neu,vader_pos,vader_compound,topic_0_proportion,topic_1_proportion,topic_2_proportion,topic_3_proportion,topic_4_proportion,topic_5_proportion,topic_6_proportion,topic_7_proportion,topic_8_proportion,topic_9_proportion,topic_10_proportion,topic_11_proportion,topic_12_proportion,topic_13_proportion,topic_14_proportion,topic_15_proportion,topic_16_proportion,topic_17_proportion,topic_18_proportion,topic_19_proportion,topic_20_proportion,topic_21_proportion,topic_22_proportion,topic_23_proportion,topic_24_proportion,topic_25_proportion,topic_26_proportion,topic_27_proportion,topic_28_proportion,topic_29_proportion,topic_30_proportion,topic_31_proportion,topic_32_proportion,topic_33_proportion,topic_34_proportion,topic_35_proportion,topic_36_proportion,topic_37_proportion,topic_38_proportion,topic_39_proportion,topic_40_proportion,topic_41_proportion,topic_42_proportion,topic_43_proportion,topic_44_proportion,topic_45_proportion,topic_46_proportion,topic_47_proportion,topic_48_proportion,topic_49_proportion,topic_50_proportion,topic_51_proportion,topic_52_proportion,topic_53_proportion,topic_54_proportion,topic_55_proportion,topic_56_proportion,topic_57_proportion,topic_58_proportion,topic_59_proportion,topic_60_proportion,scope_1_emissions_tco2e,scope_2_emissions_tco2e,scope_3_emissions_tco2e,total_emissions_tco2e,energy_consumption_mwh,renewable_energy_percent,waste_tonnes,recycling_percent,esg_notes,total_valid_chunks,esg_topic_chunks,esg_topic_proportion
ASOS,2019,56619,56113,0.0265833333333333,0.8456527777777778,0.1278055555555555,0.988711111111111,0.1884057971014492,0.0144927536231884,0.0144927536231884,0.072463768115942,0.0144927536231884,0.0289855072463768,0.0,0.0434782608695652,0.0434782608695652,0.0289855072463768,0.0,0.0289855072463768,0.0144927536231884,0.0,0.0144927536231884,0.0,0.0,0.0289855072463768,0.0144927536231884,0.0,0.0,0.0144927536231884,0.0,0.0289855072463768,0.1594202898550724,0.0289855072463768,0.0,0.0,0.0289855072463768,0.0289855072463768,0.0144927536231884,0.0144927536231884,0.0,0.0144927536231884,0.0289855072463768,0.0144927536231884,0.0144927536231884,0.0,0.0,0.0,0.0144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.0144927536231884,0.0,0.0,0.0144927536231884,0.0,0.0,0.0,0.0,,,,236720.0,,,,,total/operational carbon emissions = 236720.0 tco2e; ,69,4,0.0579710144927536
ASOS,2020,65844,65185,0.0299166666666666,0.8438095238095239,0.126297619047619,0.9412583333333332,0.2236842105263158,0.0,0.0131578947368421,0.0394736842105263,0.0394736842105263,0.0394736842105263,0.0,0.0657894736842105,0.0263157894736842,0.0263157894736842,0.0,0.0131578947368421,0.0131578947368421,0.0,0.0131578947368421,0.0263157894736842,0.0131578947368421,0.0263157894736842,0.0131578947368421,0.0,0.0,0.0,0.0,0.0131578947368421,0.131578947368421,0.0131578947368421,0.0,0.0,0.0394736842105263,0.0526315789473684,0.0,0.0131578947368421,0.0,0.0131578947368421,0.0,0.0,0.0131578947368421,0.0,0.0131578947368421,0.0,0.0131578947368421,0.0,0.0,0.0131578947368421,0.0,0.0,0.0,0.0131578947368421,0.0,0.0,0.0263157894736842,0.0,0.0263157894736842,0.0131578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2955.0,11084.0,23.0,,50451.739,75.0,,,energy consumption = 50451739.0 kwh; scope 1 emissions = 2955.0 tco2e; scope 2 emissions = 11084.0 tco2e; scope 3 emissions = 23.0 tco2e; renewable energy percentage = 75.0 %; ,76,9,0.1184210526315789
ASOS,2021,73738,72928,0.028627659574468,0.8504574468085104,0.1208829787234042,0.8799212765957446,0.1888888888888888,0.0444444444444444,0.0333333333333333,0.0333333333333333,0.0111111111111111,0.0333333333333333,0.0,0.0444444444444444,0.0444444444444444,0.0555555555555555,0.0,0.0,0.0111111111111111,0.0,0.0222222222222222,0.0111111111111111,0.0111111111111111,0.0333333333333333,0.0,0.0,0.0111111111111111,0.0,0.0,0.0222222222222222,0.0777777777777777,0.0111111111111111,0.0333333333333333,0.0,0.0333333333333333,0.0333333333333333,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0,0.0,0.0111111111111111,0.0,0.0,0.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0,0.0222222222222222,0.0,0.0,0.0111111111111111,0.0111111111111111,0.0,0.0,0.0,0.0,3602.0,11338.0,18.0,14958.0,55873.228,,,,energy consumption = 55873228.0 kwh; scope 1 emissions = 3602.0 tco2e; scope 2 emissions = 11338.0 tco2e; scope 3 emissions = 18.0 tco2e; total/operational carbon emissions = 14958.0 tco2e; ,90,8,0.0888888888888888
ASOS,2022,96290,94828,0.0343934426229508,0.8538278688524591,0.1118770491803278,0.8406065573770491,0.2,0.0181818181818181,0.0272727272727272,0.0272727272727272,0.0181818181818181,0.0272727272727272,0.0,0.0272727272727272,0.0181818181818181,0.0454545454545454,0.0545454545454545,0.0181818181818181,0.0,0.0,0.0181818181818181,0.009090909090909,0.0,0.0181818181818181,0.0181818181818181,0.0,0.0181818181818181,0.009090909090909,0.0,0.0181818181818181,0.0545454545454545,0.0181818181818181,0.0181818181818181,0.0,0.0181818181818181,0.0272727272727272,0.0272727272727272,0.0,0.0,0.009090909090909,0.009090909090909,0.0,0.0272727272727272,0.0,0.0181818181818181,0.009090909090909,0.0363636363636363,0.0,0.0,0.009090909090909,0.0181818181818181,0.0181818181818181,0.0,0.0181818181818181,0.0,0.009090909090909,0.009090909090909,0.0,0.0181818181818181,0.009090909090909,0.009090909090909,0.0,0.009090909090909,0.009090909090909,0.0,0.0,0.0,3351.0,11497.0,,14848.0,59433.989,,,,scope 1 emissions = 3351.0 tco2e; energy consumption = 59433989.0 kwh; scope 2 emissions = 11497.0 tco2e; total/operational carbon emissions = 14848.0 tco2e; ,110,19,0.1727272727272727
ASOS,2023,99804,98213,0.0356929133858267,0.8559291338582676,0.1083937007874015,0.843732283464567,0.1196581196581196,0.017094017094017,0.0085470085470085,0.0256410256410256,0.0341880341880341,0.0256410256410256,0.0,0.0341880341880341,0.017094017094017,0.0341880341880341,0.0683760683760683,0.0085470085470085,0.017094017094017,0.0,0.0256410256410256,0.0085470085470085,0.0085470085470085,0.017094017094017,0.0085470085470085,0.0085470085470085,0.017094017094017,0.017094017094017,0.0,0.0,0.0598290598290598,0.017094017094017,0.0341880341880341,0.0,0.017094017094017,0.0683760683760683,0.0256410256410256,0.0,0.0,0.017094017094017,0.0085470085470085,0.0341880341880341,0.017094017094017,0.0,0.017094017094017,0.0085470085470085,0.017094017094017,0.0,0.0,0.0085470085470085,0.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0085470085470085,0.0085470085470085,0.0427350427350427,0.017094017094017,0.017094017094017,0.0,0.0085470085470085,0.0,0.0,0.0,0.0,,,,,,,,,,117,26,0.2222222222222222
ASOS,2024,101842,100236,0.0371908396946564,0.8542366412213741,0.1085801526717557,0.7953984732824427,0.1282051282051282,0.0427350427350427,0.0256410256410256,0.0256410256410256,0.0341880341880341,0.017094017094017,0.0,0.0512820512820512,0.017094017094017,0.0512820512820512,0.0512820512820512,0.017094017094017,0.0085470085470085,0.0,0.0427350427350427,0.0085470085470085,0.0085470085470085,0.017094017094017,0.0085470085470085,0.0085470085470085,0.0085470085470085,0.0085470085470085,0.0,0.017094017094017,0.0598290598290598,0.0085470085470085,0.0,0.0,0.0085470085470085,0.0341880341880341,0.0085470085470085,0.0,0.0,0.017094017094017,0.0256410256410256,0.0341880341880341,0.017094017094017,0.0,0.0256410256410256,0.0085470085470085,0.0256410256410256,0.0,0.0,0.017094017094017,0.0085470085470085,0.0085470085470085,0.0,0.017094017094017,0.0,0.0,0.0085470085470085,0.0,0.0427350427350427,0.0085470085470085,0.0,0.0085470085470085,0.0085470085470085,0.0,0.0,0.0,0.0,,,,,,,,,,117,23,0.1965811965811965
BOOHOO,2019,37311,36505,0.0332291666666666,0.8452083333333332,0.121625,0.90315,0.2790697674418604,0.0,0.0,0.0465116279069767,0.0465116279069767,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0232558139534883,0.0465116279069767,0.0,0.0,0.0465116279069767,0.0,0.0232558139534883,0.0232558139534883,0.0,0.0,0.0,0.0,0.0465116279069767,0.0,0.0465116279069767,0.0232558139534883,0.0,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0232558139534883,0.0232558139534883,0.0,0.0,0.0,0.0,0.0232558139534883,0.0,0.0930232558139534,0.0232558139534883,0.0465116279069767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232558139534883,0.0232558139534883,0.0,0.0232558139534883,0.0,0.0,,,,,,,65.0,,waste/recycling amount = 65.0 tonnes; ,43,4,0.0930232558139534
BOOHOO,2020,44081,43329,0.0319642857142857,0.8431428571428572,0.1248392857142857,0.8507392857142858,0.2115384615384615,0.0,0.0,0.0192307692307692,0.0384615384615384,0.0,0.0,0.0192307692307692,0.0384615384615384,0.0192307692307692,0.0,0.0576923076923076,0.0192307692307692,0.0,0.0,0.0192307692307692,0.0384615384615384,0.0192307692307692,0.0384615384615384,0.0,0.0,0.0,0.0,0.0192307692307692,0.0,0.0576923076923076,0.0,0.0,0.0192307692307692,0.0,0.0192307692307692,0.0,0.0,0.0192307692307692,0.0,0.0576923076923076,0.0,0.0,0.0,0.0,0.0192307692307692,0.0,0.173076923076923,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0192307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192307692307692,0.0,0.0,,,,,,,,,renewable energy percentage = 100.0 %; ,52,8,0.1538461538461538
BOOHOO,2021,51706,51232,0.0296969696969696,0.8390454545454545,0.1313484848484848,0.8524818181818182,0.2592592592592592,0.0,0.0,0.0555555555555555,0.0,0.0185185185185185,0.0,0.0185185185185185,0.0555555555555555,0.0,0.0,0.0,0.074074074074074,0.0,0.0,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.0,0.0,0.037037037037037,0.0185185185185185,0.0,0.0185185185185185,0.0,0.0555555555555555,0.0,0.0,0.0185185185185185,0.0,0.0185185185185185,0.0,0.0,0.0185185185185185,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0,0.0185185185185185,0.0,0.0,0.0925925925925925,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,54,7,0.1296296296296296
BOOHOO,2022,60984,59887,0.0316923076923077,0.8422948717948717,0.1260384615384615,0.8205769230769232,0.1971830985915492,0.0,0.0,0.0422535211267605,0.0140845070422535,0.0140845070422535,0.0,0.0704225352112676,0.028169014084507,0.0140845070422535,0.028169014084507,0.0140845070422535,0.056338028169014,0.0,0.0,0.0,0.028169014084507,0.0140845070422535,0.028169014084507,0.0,0.0422535211267605,0.0140845070422535,0.0,0.0140845070422535,0.0,0.0422535211267605,0.0,0.0,0.0140845070422535,0.0,0.0,0.0,0.0,0.0,0.028169014084507,0.0422535211267605,0.0,0.0,0.0140845070422535,0.0140845070422535,0.0140845070422535,0.0,0.0704225352112676,0.0,0.0140845070422535,0.056338028169014,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0140845070422535,0.028169014084507,0.0,0.0,,,,,,,,,,71,19,0.2676056338028169
